番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
1,67,A,67-A-001,腸ヒモが認められる動物はどれか。（2つ選びなさい。）,牛,馬,豚,犬,猫,3,"2, 3","馬,豚"
2,67,A,67-A-002,馬の解剖に関する記述として正しいのはどれか。（2つ選びなさい。）,肝臓に外側右葉をもつ。,食道の筋層は全長が横紋筋である。,鼻唇平面腺をもつ。,胃の内面にヒダ状縁をもつ。,耳管憩室をもつ。,5,"4, 5","胃の内面にヒダ状縁をもつ。,耳管憩室をもつ。"
3,67,A,67-A-003,肝臓に関する記述として正しいのはどれか。（2つ選びなさい。）,類洞周囲脂肪(伊東)細胞はビタミンAを蓄積する。,牛では小葉間結合組織がよく発達する。,豚は方形葉を欠く。,毛細胆管壁は単層扁平上皮である。,馬は胆囊を欠く。,2,"1, 5","類洞周囲脂肪(伊東)細胞はビタミンAを蓄積する。,馬は胆囊を欠く。"
4,67,A,67-A-004,泌尿器系に関する記述として正しいのはどれか。（2つ選びなさい。）,腎臓では輸入細動脈は葉間動脈から直接分岐する。,腎臓遠位尿細管の上皮細胞には刷子縁が密生する。,牛は腎臓に終陥凹をもつ。,膀胱円索は臍動脈の遺残体である。,鶏は膀胱を欠く。,5,"4, 5","膀胱円索は臍動脈の遺残体である。,鶏は膀胱を欠く。"
5,67,A,67-A-005,循環器系に関する記述として正しいのはどれか。（2つ選びなさい。）,脳の静脈は静脈弁を欠く。,心房中隔は発生の過程で2枚の中隔から形成される。,洞房結節と房室結節は直接プルキンエ線維でつながれている。,椎骨動脈は総頚動脈から直接分岐する。,脳では動静脈吻合が多数観察される。,1,"1, 2","脳の静脈は静脈弁を欠く。,心房中隔は発生の過程で2枚の中隔から形成される。"
6,67,A,67-A-006,牛のリンパ節に関する記述として正しいのはどれか。（2つ選びなさい。）,リンパ洞は被膜下のみに存在する。,リンパ小節は髄質に存在する。,輸入リンパ管はリンパ節門につながる。,浅鼡径リンパ節は乳房リンパ節とも呼ばれる。,傍皮質にはTリンパ球が集まっている。,5,"4, 5","浅鼡径リンパ節は乳房リンパ節とも呼ばれる。,傍皮質にはTリンパ球が集まっている。"
7,67,A,67-A-007,鶏の解剖と組織に関する記述として正しいのはどれか。（2つ選びなさい。）,偽好酸球は哺乳類の好酸球に相当する。,心臓は2心房1心室である。,視葉が発達する。,副腎では皮質と髄質が複雑に錯綜する。,嗉囊は腺胃の一部が拡張したものである。,4,"3, 4","視葉が発達する。,副腎では皮質と髄質が複雑に錯綜する。"
8,67,A,67-A-008,顔面骨(内臓頭蓋)はどれか。,前頭骨,後頭骨,側頭骨,上顎骨,底蝶形骨,4,4,上顎骨
9,67,A,67-A-009,肺に関する記述として正しいのはどれか。（2つ選びなさい。）,犬の肺は左右それぞれ2葉からなる。,牛の肺には気管の気管支がある。,鶏の肺は気囊に接続する。,豚の肺は副葉を欠く。,馬の肺は右が4葉で左が3葉である。,3,"2, 3","牛の肺には気管の気管支がある。,鶏の肺は気囊に接続する。"
10,67,A,67-A-010,哺乳類の白血球に関する記述として正しいのはどれか。（2つ選びなさい。）,好中球の核は35葉に分葉する。,好中球は細胞質顆粒を欠く。,好塩基球は総白血球数の約10%含まれる。,単球は白血球では最小である。,形質細胞はBリンパ球の分化により生じる。,2,"1, 5","好中球の核は35葉に分葉する。,形質細胞はBリンパ球の分化により生じる。"
11,67,A,67-A-011,髄膜に関する記述として正しいのはどれか。（2つ選びなさい。）,脊髄硬膜は内板と外板に分かれる。,クモ膜は軟膜と密着し隙間はない。,軟膜と脳実質の間には腔所がある。,小脳テントはクモ膜の一部である。,大脳鎌は硬膜の一部である。,2,"1, 5","脊髄硬膜は内板と外板に分かれる。,大脳鎌は硬膜の一部である。"
12,67,A,67-A-012,陰茎に関する記述として正しいのはどれか。（2つ選びなさい。）,犬の陰茎亀頭は短い。,豚の陰茎先端は直線状で細長い。,牛の陰茎には陰茎骨がある。,馬の陰茎には尿道突起がある。,鶏の陰茎は退化し生殖突起と呼ばれる。,5,"4, 5","馬の陰茎には尿道突起がある。,鶏の陰茎は退化し生殖突起と呼ばれる。"
13,67,A,67-A-013,副腎および分泌されるホルモンに関する記述として誤っているのはどれか。,皮質の球状帯は電解質コルチコイドを分泌する。,皮質が分泌する糖質コルチコイドは糖新生を促進する。,副腎皮質刺激ホルモンは糖質コルチコイド分泌を促進する。,電解質コルチコイドは炎症反応を抑制する。,髄質はカテコールアミンを分泌する。,4,4,電解質コルチコイドは炎症反応を抑制する。
14,67,A,67-A-014,細胞膜を介する物質の輸送に関する記述として正しいのはどれか。,水チャネルによる水輸送は浸透圧勾配に影響される。,酸素ガスの細胞膜通過には輸送タンパク質が必須である。,エクソサイトーシスは濃度勾配に従ってのみ輸送できる。,K+チャネルによるK+輸送はK+の濃度勾配にのみ影響される。,Na+ - K+ - 2Cl−共輸送体はCl−の電気化学ポテンシャルを利用する。,1,1,水チャネルによる水輸送は浸透圧勾配に影響される。
15,67,A,67-A-015,筋紡錘に関する記述として正しいのはどれか。,γ運動ニューロンが働くと筋紡錘の感度が低下する。,平滑筋の伸展を受容する感覚器である。,感覚神経終末はマイスナー(マイスネル)小体と呼ばれる。,α運動ニューロンは錘内筋線維を収縮させる。,錘内筋線維には核袋線維が含まれる。,5,5,錘内筋線維には核袋線維が含まれる。
16,67,A,67-A-016,哺乳動物における副交感神経の作用はどれか。,瞳孔の散大,グリコーゲンの分解,細気管支の拡張,心拍数の増加,唾液腺からの分泌亢進,5,5,唾液腺からの分泌亢進
17,67,A,67-A-017,アセチルコリンに関する記述として正しいのはどれか。,主としてニューロンの樹状突起で合成される。,心臓の交感神経節後線維のシナプスにおける神経伝達物質である。,コリンとアセチルCoAから合成される。,神経筋接合部のシナプス後膜で過分極を起こす。,コリンエステラーゼにより活性化される。,3,3,コリンとアセチルCoAから合成される。
